"Código","Inst_Previa","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
534,"NS/NR",49,14,49,19
540,"Sí",71,23,56,23
287,"No",66,23,51,28
288,"No",83,25,53,28
1095,"Sí",57,20,52,15
217,"No",91,27,56,26
218,"No",69,21,32,17
1094,"Sí",55,18,45,13
1101,"Sí",55,18,58,19
1104,"Sí",51,18,46,16
1098,"Sí",55,18,51,13
1096,"Sí",71,19,56,18
1092,"Sí",65,21,44,15
103,"Sí",48,16,47,16
3367,"No",145,36,43,31
3369,"No",130,33,66,32
1099,"Sí",52,18,55,15
108,"Sí",40,14,38,13
1103,"Sí",48,18,41,11
104,"Sí",60,13,58,15
1093,"NS/NR",56,15,52,16
106,"Sí",45,13,51,13
1380,"NS/NR",98,27,62,25
1381,"NS/NR",98,26,60,25
3171,"No",94,28,53,21
3173,"No",111,31,56,24
1091,"Sí",52,17,42,13
3423,"NS/NR",123,32,57,28
3427,"NS/NR",87,27,54,25
1396,"NS/NR",78,19,55,21
1447,"No",67,17,50,19
837,"No",56,25,61,26
2242,"No",88,24,67,16
910,"NS/NR",42,14,57,15
911,"Sí",39,17,52,19
800,"No",70,21,57,21
801,"No",75,22,58,21
2198,"No",117,35,75,34
2199,"No",87,30,72,34
3374,"NS/NR",75,24,53,21
2282,"Sí",97,22,62,28
2283,"Sí",116,27,58,30
17,"No",53,21,49,23
167,"No",80,19,48,20
168,"No",79,21,53,26
1057,"NS/NR",90,22,53,23
1058,"NS/NR",70,21,49,20
1842,"No",117,32,73,28
1066,"No",58,16,53,22
1841,"No",116,31,71,28
1837,"No",104,32,70,29
2188,"Sí",63,21,55,23
150,"No",83,22,53,23
153,"No",82,21,54,26
152,"No",80,21,52,21
148,"No",61,20,55,20
151,"No",71,17,51,18
3162,"NS/NR",119,34,65,32
149,"No",95,29,56,26
847,"Sí",103,33,78,31
3458,"No",116,34,69,31
1282,"No",67,22,62,23
3204,"No",75,33,71,23
1436,"No",62,21,49,19
2572,"No",124,29,57,28
3401,"No",68,26,54,17
891,"No",78,27,57,24
2353,"No",98,35,76,31
1435,"No",67,24,51,23
1437,"No",71,14,50,22
1697,"Sí",90,18,47,19
1438,"No",67,25,41,19
1991,"Sí",83,22,48,21
1992,"Sí",96,24,53,24
1993,"Sí",92,22,54,21
1987,"Sí",71,26,57,26
1986,"Sí",69,23,53,23
2121,"No",74,24,50,23
1974,"Sí",133,36,72,23
2119,"No",77,27,54,26
1972,"No",129,36,63,27
2122,"No",59,22,49,19
2111,"No",55,22,52,23
2113,"No",69,23,55,24
2092,"Sí",92,32,62,30
2112,"No",72,25,58,23
1929,"NS/NR",86,22,57,21
1970,"Sí",78,27,63,25
1009,"Sí",62,19,48,17
1003,"Sí",59,19,48,17
1006,"Sí",51,17,46,18
999,"Sí",65,19,46,21
1004,"Sí",68,18,46,18
1005,"No",68,22,49,19
1010,"Sí",69,22,52,21
1000,"Sí",54,17,43,14
1012,"Sí",59,18,48,18
1928,"Sí",84,18,57,21
1931,"NS/NR",97,28,54,28
1933,"NS/NR",88,26,65,16
2079,"NS/NR",65,21,55,20
1935,"NS/NR",92,22,63,25
2075,"NS/NR",72,23,59,22
884,"No",106,31,68,32
1290,"No",49,22,58,19
1088,"No",132,36,72,28
781,"No",92,22,51,24
2142,"Sí",76,27,57,21
1849,"Sí",134,36,76,32
1524,"No",65,27,62,20
560,"Sí",67,24,48,21
578,"Sí",74,21,42,23
564,"Sí",103,28,69,28
577,"Sí",72,21,49,23
575,"Sí",61,21,35,18
558,"Sí",53,21,47,16
574,"Sí",76,21,51,21
565,"Sí",96,24,58,27
1391,"NS/NR",96,31,51,24
3441,"NS/NR",80,28,60,17
3165,"NS/NR",81,30,64,25
3499,"NS/NR",105,36,44,24
3170,"No",69,22,57,22
1975,"Sí",134,35,60,30
1973,"Sí",122,33,64,26
1071,"No",150,35,68,34
2009,"No",81,27,61,21
3431,"NS/NR",113,30,63,26
3226,"No",109,30,45,19
1176,"NS/NR",64,22,53,21
3207,"Sí",100,32,65,25
3234,"No",81,25,55,22
3472,"NS/NR",108,25,59,24
3495,"NS/NR",76,22,53,21
3286,"NS/NR",65,15,39,17
3395,"No",143,24,72,31
2008,"No",78,27,59,21
2091,"Sí",85,34,61,29
2107,"No",73,30,71,24
2093,"Sí",105,34,65,30
2101,"Sí",69,29,41,18
2089,"Sí",89,31,63,29
2094,"Sí",79,29,58,29
2096,"Sí",93,34,61,31
2106,"No",58,22,57,18
1990,"Sí",79,25,61,21
349,"No",68,15,53,20
1167,"Sí",69,20,57,23
285,"No",62,23,54,23
541,"NS/NR",69,22,56,20
553,"Sí",129,36,67,34
546,"Sí",97,30,58,31
543,"Sí",70,22,57,21
548,"Sí",106,32,58,31
538,"NS/NR",57,19,53,19
547,"No",44,10,32,16
709,"No",111,30,77,32
1404,"Sí",58,25,61,27
53,"No",61,23,54,26
1971,"Sí",82,27,66,25
2081,"Sí",100,27,62,29
1440,"No",63,23,50,19
990,"No",78,27,71,29
2617,"Sí",106,34,73,31
2360,"No",125,32,77,34
1805,"No",103,25,63,25
1354,"NS/NR",73,21,55,19
2398,"No",124,34,66,33
1394,"NS/NR",92,29,60,24
3081,"No",122,33,62,30
1002,"Sí",56,17,48,18
81,"No",112,36,71,25
1209,"No",99,25,62,25
1113,"No",46,15,46,18
356,"Sí",79,20,49,21
2805,"No",126,32,66,29
2594,"No",41,23,41,12
1389,"NS/NR",110,27,61,28
2356,"No",71,26,55,23
771,"No",93,19,56,22
264,"No",101,26,62,29
826,"No",80,26,56,21
954,"No",86,27,64,30
784,"No",82,23,47,24
1117,"No",65,17,50,21
1135,"Sí",151,33,77,35
2010,"No",74,25,54,20
2337,"No",101,34,75,27
289,"No",72,24,54,27
32,"No",116,27,61,28
704,"No",141,33,58,32
1867,"NS/NR",106,34,72,29
1309,"No",124,29,67,33
214,"No",88,26,41,23
1313,"No",61,20,59,29
772,"No",95,23,56,24
1185,"No",92,29,57,25
1531,"No",121,35,69,23
927,"No",92,19,64,24
1138,"Sí",124,33,76,29
2512,"No",144,33,67,24
1018,"NS/NR",55,18,49,20
960,"No",102,31,71,28
226,"No",74,23,39,22
2563,"No",63,20,42,19
571,"Sí",92,27,62,23
3406,"NS/NR",78,29,58,17
2514,"No",108,30,68,24
228,"No",79,21,44,20
413,"No",108,28,57,21
3468,"NS/NR",95,24,60,26
836,"NS/NR",83,31,65,23
1139,"Sí",51,28,49,21
936,"No",83,22,64,24
567,"Sí",87,25,57,27
989,"No",96,30,72,29
2554,"No",117,30,66,28
2562,"No",136,34,69,33
92,"Sí",147,36,67,30
1850,"Sí",143,36,76,28
1382,"NS/NR",84,23,55,21
3274,"NS/NR",108,32,55,23
2253,"No",109,31,63,35
281,"NS/NR",78,25,60,24
2414,"No",122,35,67,33
257,"No",119,26,61,30
2372,"No",126,34,77,35
363,"Sí",78,18,46,19
3150,"NS/NR",86,35,64,31
983,"No",69,25,50,23
2268,"No",99,31,61,29
982,"No",72,26,49,24
2339,"No",150,36,72,30
2526,"NS/NR",71,27,58,23
721,"NS/NR",115,33,68,28
2605,"No",105,21,58,31
3428,"NS/NR",93,24,56,21
1351,"NS/NR",72,17,52,19
3359,"No",123,27,47,25
2267,"No",110,31,63,30
2254,"No",122,36,64,36
1015,"NS/NR",101,26,66,30
705,"No",128,32,70,32
1306,"No",108,29,62,33
1350,"NS/NR",97,26,59,27
820,"No",114,32,68,24
2596,"No",63,29,50,18
14,"No",113,24,58,27
1030,"NS/NR",92,24,63,23
921,"No",114,25,76,25
3259,"No",136,35,66,28
1184,"No",69,22,45,20
2399,"No",110,32,66,32
1310,"Sí",79,29,65,32
1960,"No",112,33,72,29
1806,"No",118,28,61,25
1856,"Sí",115,31,73,26
3163,"NS/NR",112,34,64,32
3013,"NS/NR",140,36,67,32
626,"NS/NR",72,20,55,23
2518,"No",109,30,64,21
3184,"No",86,30,54,26
1371,"No",123,33,65,31
3437,"NS/NR",109,32,62,25
1179,"Sí",87,18,51,23
1038,"No",79,22,69,28
2377,"No",121,32,70,34
3133,"NS/NR",112,35,66,30
3167,"NS/NR",78,32,61,21
831,"Sí",94,26,49,21
391,"NS/NR",96,22,60,23
1359,"No",112,32,62,30
2391,"No",133,33,67,32
1220,"Sí",72,30,54,21
1365,"No",94,29,66,29
2259,"No",81,24,59,24
576,"Sí",76,21,50,23
2358,"No",118,32,77,35
997,"NS/NR",63,22,49,17
1789,"No",111,27,73,27
1021,"NS/NR",79,25,62,23
1086,"No",98,35,67,21
1750,"NS/NR",131,36,75,31
2602,"No",98,31,66,24
1854,"Sí",122,30,73,29
2413,"No",102,31,69,28
834,"No",105,32,64,26
1013,"Sí",95,30,69,28
1866,"NS/NR",133,36,77,31
1782,"Sí",93,32,70,26
1300,"NS/NR",148,35,68,33
3285,"NS/NR",108,30,59,22
2371,"No",110,32,75,35
814,"Sí",107,32,73,25
1033,"NS/NR",84,25,63,23
222,"NS/NR",98,28,60,30
573,"Sí",108,28,52,25
1875,"NS/NR",153,36,73,31
1043,"No",100,28,72,30
2609,"No",40,26,33,11
3254,"No",91,27,57,22
2266,"No",127,36,66,35
3311,"NS/NR",99,22,55,23
2249,"No",104,31,61,32
1848,"No",147,36,66,30
3342,"NS/NR",155,36,71,35
1885,"NS/NR",116,34,76,27
2397,"No",146,35,68,30
2116,"No",58,23,55,24
529,"No",139,36,60,29
3110,"NS/NR",91,31,42,21
229,"No",100,30,56,31
266,"No",65,20,58,22
91,"No",86,29,54,22
223,"No",106,28,63,31
66,"No",103,26,63,25
1751,"NS/NR",106,35,75,29
3101,"No",114,30,58,29
263,"No",70,20,61,27
236,"No",68,20,42,24
3449,"NS/NR",99,27,55,16
267,"No",108,28,67,31
396,"NS/NR",67,24,56,22
2381,"No",118,31,73,35
3280,"NS/NR",102,32,57,22
774,"No",85,28,56,26
3138,"NS/NR",82,35,65,25
1022,"NS/NR",83,25,63,23
1781,"No",82,29,65,22
3339,"No",156,36,74,33
3224,"No",85,26,55,22
3192,"No",112,31,59,26
2595,"No",104,30,63,29
2146,"Sí",83,26,48,23
269,"Sí",105,29,60,30
2343,"No",71,33,73,29
3361,"NS/NR",116,31,57,27
1246,"Sí",111,29,61,31
3288,"NS/NR",140,33,62,27
357,"Sí",80,23,47,19
3301,"No",67,16,45,23
827,"No",93,30,64,24
1249,"Sí",125,34,55,34
1450,"No",69,23,52,18
297,"No",65,24,50,24
3015,"No",99,31,55,25
268,"No",110,28,68,31
94,"Sí",142,33,58,26
1248,"Sí",128,34,58,27
1879,"NS/NR",110,34,75,27
1314,"Sí",142,35,69,34
2393,"No",128,31,70,32
569,"Sí",68,22,47,20
3338,"No",156,36,64,29
3373,"NS/NR",88,29,57,21
3239,"No",155,36,52,34
2395,"NS/NR",118,35,64,30
503,"No",96,19,51,24
643,"NS/NR",67,24,58,25
934,"No",76,23,53,23
2402,"No",121,33,69,32
1247,"Sí",75,22,51,19
273,"Sí",111,24,58,24
2600,"No",72,28,33,13
2403,"No",125,34,70,33
1851,"Sí",139,36,75,31
923,"No",60,19,37,17
1434,"No",74,24,44,20
1115,"No",54,16,54,20
1443,"No",65,18,54,20
2396,"NS/NR",141,34,73,32
611,"No",79,28,58,23
1387,"NS/NR",77,20,51,19
84,"No",118,32,42,24
395,"Sí",92,23,56,26
1311,"No",79,25,62,32
1299,"No",84,30,67,28
274,"No",67,20,57,23
1035,"NS/NR",91,24,63,23
840,"No",84,26,55,24
1368,"No",88,29,50,23
3231,"NS/NR",105,30,62,25
959,"Sí",98,30,67,35
1016,"NS/NR",77,24,60,28
225,"No",73,24,42,22
3371,"NS/NR",144,36,53,31
2366,"No",98,32,70,34
3161,"No",116,32,57,28
980,"No",98,27,56,29
3249,"No",135,29,67,27
2394,"No",154,36,71,33
1876,"NS/NR",117,34,73,27
3310,"NS/NR",94,23,51,24
3130,"NS/NR",118,35,65,32
835,"No",118,34,75,28
641,"NS/NR",69,19,51,20
713,"No",131,32,70,32
1441,"No",66,26,53,22
2007,"Sí",74,23,59,20
1888,"NS/NR",109,34,76,27
3202,"No",130,25,59,31
3106,"NS/NR",79,26,46,20
3380,"NS/NR",140,35,56,32
2352,"No",100,34,76,29
1007,"Sí",64,17,48,16
637,"NS/NR",65,18,48,19
783,"No",71,19,49,22
949,"No",103,30,66,35
950,"No",99,28,64,30
958,"No",88,31,53,29
730,"No",76,26,48,21
2368,"No",112,32,69,35
3327,"NS/NR",88,24,57,24
1527,"No",121,35,72,29
383,"No",153,26,67,28
3164,"No",113,36,69,32
2255,"No",99,31,63,31
28,"Sí",99,23,57,25
1858,"Sí",118,31,73,28
1388,"NS/NR",86,23,56,20
2887,"No",90,30,61,24
358,"Sí",79,20,46,19
1361,"No",122,29,66,33
770,"No",98,24,59,23
1034,"NS/NR",83,24,51,23
1221,"Sí",92,27,56,24
1230,"Sí",95,25,64,25
3272,"No",121,31,58,26
1961,"No",153,36,78,32
3238,"No",89,24,56,27
1878,"NS/NR",114,34,75,28
93,"No",113,32,62,26
2341,"NS/NR",135,35,76,31
12,"Sí",108,27,60,27
3235,"NS/NR",108,32,62,23
1446,"No",70,22,48,22
3353,"NS/NR",138,29,58,31
1308,"No",89,26,65,30
3421,"NS/NR",94,28,60,21
15,"No",111,26,55,27
421,"No",89,31,61,25
930,"Sí",98,22,59,22
1517,"No",118,34,64,29
262,"No",121,30,70,31
2374,"No",131,33,77,35
6,"No",114,27,47,27
1373,"No",97,28,68,32
1014,"NS/NR",63,17,63,20
1353,"NS/NR",99,24,56,24
507,"No",115,29,53,26
828,"No",105,31,69,24
235,"No",79,22,36,24
3145,"NS/NR",80,28,61,21
839,"No",78,25,54,23
922,"No",55,21,51,17
1011,"No",57,18,46,18
372,"NS/NR",156,25,72,34
1085,"No",124,35,52,26
2590,"No",58,29,37,16
279,"Sí",45,22,46,21
1008,"Sí",80,22,53,22
426,"No",95,34,61,20
2355,"No",104,30,76,30
260,"No",95,26,68,31
2139,"Sí",75,20,54,18
286,"No",63,25,54,25
1514,"No",120,34,69,29
3225,"NS/NR",108,30,62,23
723,"NS/NR",102,32,65,26
1883,"NS/NR",112,34,60,28
3104,"NS/NR",59,20,50,19
2345,"NS/NR",102,35,77,31
717,"NS/NR",99,35,69,28
2361,"No",143,32,76,35
378,"No",147,26,78,28
2525,"NS/NR",67,27,58,21
3131,"NS/NR",82,30,55,25
1305,"No",65,20,61,31
261,"No",102,30,65,31
710,"No",129,33,74,34
1377,"No",112,26,61,30
816,"No",106,31,61,24
1372,"No",87,27,64,28
3368,"NS/NR",80,27,60,25
612,"No",78,25,60,21
1752,"NS/NR",136,36,78,31
2118,"No",77,26,51,23
1451,"No",52,23,55,21
981,"No",98,27,60,29
3264,"No",65,21,52,21
1229,"No",72,27,50,25
11,"Sí",100,24,56,26
1523,"No",57,25,55,20
3370,"No",141,36,68,31
714,"No",121,31,71,33
715,"No",126,34,73,35
869,"No",85,30,65,30
566,"Sí",88,26,57,24
1913,"Sí",111,30,68,25
373,"No",153,25,71,34
638,"NS/NR",81,22,58,22
2338,"No",67,34,70,28
408,"No",88,31,54,21
1886,"NS/NR",101,33,73,27
294,"No",69,24,55,27
1959,"No",154,35,77,28
3109,"NS/NR",72,18,52,19
708,"No",122,32,72,34
1962,"No",130,34,75,32
2344,"No",107,35,77,31
812,"Sí",97,31,68,26
1456,"No",65,23,51,17
2597,"No",34,26,33,8
1304,"No",85,25,63,32
296,"No",81,24,53,28
829,"No",62,30,58,24
387,"Sí",107,25,57,26
362,"Sí",78,18,46,19
1862,"Sí",112,29,73,31
1519,"No",67,29,62,21
1376,"No",85,23,61,30
2409,"No",111,29,67,29
991,"No",71,26,67,24
3375,"NS/NR",104,26,61,27
79,"No",112,33,61,29
1809,"No",106,23,63,25
272,"No",44,17,45,16
3498,"NS/NR",97,26,55,23
1857,"Sí",116,33,73,29
3358,"NS/NR",59,18,51,20
1882,"NS/NR",114,34,76,27
2362,"No",106,32,73,34
3190,"No",124,31,65,31
3112,"NS/NR",140,35,68,34
1510,"NS/NR",105,30,61,27
811,"No",82,28,65,23
3220,"NS/NR",92,25,53,23
1455,"No",69,25,51,19
382,"Sí",153,25,67,28
1530,"No",73,30,60,27
1366,"No",82,26,53,21
3341,"NS/NR",137,35,58,26
830,"No",111,21,61,23
3222,"NS/NR",112,30,58,30
1250,"Sí",110,31,54,28
1853,"Sí",156,36,78,33
1223,"Sí",71,26,64,22
2516,"No",81,34,68,24
2607,"No",38,24,39,9
1121,"No",41,11,38,14
1395,"NS/NR",85,27,57,24
3350,"NS/NR",104,28,53,25
424,"No",94,33,63,27
926,"No",96,25,70,29
1453,"No",60,24,51,19
2799,"No",103,29,64,27
1042,"No",83,26,70,22
3478,"No",106,30,52,23
1226,"Sí",62,26,55,21
988,"No",94,27,71,30
3169,"NS/NR",105,29,53,22
2248,"No",59,21,53,17
1528,"Sí",47,32,56,20
2612,"No",68,22,50,17
3183,"No",148,35,65,31
3335,"NS/NR",129,33,62,27
402,"NS/NR",56,23,57,21
374,"Sí",153,26,77,30
2515,"No",115,36,61,24
2251,"No",97,31,63,31
3180,"No",156,36,61,30
2258,"No",106,31,60,30
1374,"No",123,33,70,32
1748,"NS/NR",134,35,78,30
1219,"Sí",104,29,49,26
1868,"NS/NR",136,36,71,30
3325,"NS/NR",127,36,52,27
1252,"Sí",96,30,58,21
237,"No",58,15,38,18
2558,"No",86,30,49,22
3415,"NS/NR",118,31,62,26
1029,"NS/NR",89,25,56,23
3293,"NS/NR",101,27,55,23
1025,"NS/NR",83,25,62,25
1877,"NS/NR",97,34,73,26
557,"NS/NR",72,17,59,17
1189,"No",89,30,56,17
1114,"No",44,14,37,12
1808,"No",98,25,62,25
1112,"No",46,10,45,18
68,"No",80,29,57,22
813,"No",80,28,73,26
3159,"NS/NR",89,30,64,30
559,"Sí",77,25,67,29
89,"No",130,32,54,26
868,"No",81,32,53,32
3362,"NS/NR",101,29,57,26
1028,"NS/NR",90,25,48,20
425,"No",86,31,60,22
1036,"NS/NR",94,24,64,23
